id,chapter_name,subject_id,icon_id,_means bad ss
PH01,Units and Dimensions,PH,PH11,
PH02,Circular Motion,PH,PH11,
PH03,Kinematics,PH,PH11,
PH04,Newton Laws of Motion,PH,PH11,
PH05,"Centre of Mass, Momentum & Collision",PH,PH11,
PH06,"Work, Energy, and Power",PH,PH11,
PH07,Rotational Motion,PH,PH11,
PH08,Gravitation,PH,PH11,
PH09,Properties of Solids and Liquids,PH,PH11,
PH10,KTG and Thermodynamics,PH,PH11,
PH11,Sound Wave,PH,PH11,
PH12,SHM,PH,PH11,
PH13,Electrostatics,PH,PH12,
PH14,Current Electricity,PH,PH12,
PH15,Magnetic Effects of Current ,PH,PH12,
PH16,Capacitance,PH,PH12,
PH17,EMI,PH,PH12,
PH18,Alternating Current,PH,PH12,
PH19,wave optiocs,PH,PH12,
PH20,Optics,PH,PH12,
PH21,Modern Physics-1,PH,PH12,
PH22,Modern Physics-2,PH,PH12,
PH23,Electronic Devices,PH,PH12,
PH24,Communication Systems,PH,PH12,
PH25,Experimental Skills,PH,PH12,
CH01,Mole Concept,CH,CHP,
CH02,Atomic Structure,CH,CHP,
CH03,Periodic Table,CH,CHI,
CH04,Chemical Bonding,CH,CHI,
CH05,States of Matter,CH,CHP,
CH06,Thermodynamics,CH,CHP,
CH07,_Chemical Equilibrium,CH,CHP,
CH08,Redox Equivalent,CH,CHI,
CH09,Hydrogen and its compounds,CH,CHI,
CH10,s-Block Elements,CH,CHI,
CH11,p-Block Elements,CH,CHI,
CH12,Classification and Nomenclature,CH,CHO,
CH13,Hydrocarbons,CH,CHO,
CH14,Environmental Chemistry,CH,CHO,
CH15,Solid State,CH,CHP,
CH16,Solutions,CH,CHP,
CH17,Electrochemistry,CH,CHP,
CH18,Chemical Kinetics,CH,CHP,
CH19,Surface Chemistry,CH,CHP,
CH20,General Principles and Processes of Isolation of Elements,CH,CHI,
CH21,d Block Elements,CH,CHI,
CH22,Coordination Chemistry,CH,CHI,
CH23,Haloalkanes and Haloarenes,CH,CHO,
CH24,Alcohol Ether,CH,CHO,
CH25,"Aldehydes, Ketones, and Carboxylic Acids",CH,CHO,
CH26,Organic Compounds Containing Nitrogen,CH,CHO,
CH27,Biomolecules,CH,CHO,
CH28,Polymers,CH,CHO,
CH29,Chemistry in Everyday Life,CH,CHO,
CH30,Practical Organic Chemistry,CH,CHP,
CH31,Metallurgy,CH,CHI,
CH32,Salt Analysis,CH,CHI,
MA01,Functions,MA,MA11,
MA02,Straight Line,MA,MA11,
MA03,Circle,MA,MA11,
MA04,Parabola,MA,MA11,
MA05,Ellipse,MA,MA11,
MA06,Hyperbola,MA,MA11,
MA07,Complex Numbers,MA,MA11,
MA08,Quadratic Equation,MA,MA11,
MA09,Matrices and Determinants,MA,MA11,
MA10,"Permutations, Combinations",MA,MA11,
MA11,Mathematical Induction,MA,MA11,
MA12,Binomial Theorem ,MA,MA11,
MA13,Sequence and Series,MA,MA11,
MA14,Limit,MA,MA12,
MA15,Methoda of Differentiation,MA,MA12,
MA16,Indefinate Integration,MA,MA12,
MA17,Continuity,MA,MA12,
MA18,Differentiability,MA,MA12,
MA19,Applilcation of Derivative (AOD),MA,MA12,
MA20,Differential Equations,MA,MA12,
MA21,Coordinate Geometry,MA,MA12,
MA22,Three-Dimensional Geometry,MA,MA12,
MA23,Vector ,MA,MA12,
MA24,Probability,MA,MA12,
MA25,Statistics,MA,MA12,
MA26,Compound Angle,MA,MA12,
MA27,Trigonometric Equations,MA,MA12,
MA28,Inverse Trigonometry,MA,MA12,
MA29,Solution of Triangle,MA,MA12,
MA30,Mathematical Reasoning,MA,MA12,
