Chapter,image_path,qsn,ans,correct_answer,type,source,chapter_id,question_id,creator
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_001_001.png,1,1,"A, C",MMCQ,MODULE,MA19,MA19001,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_002_002.png,2,2,C,SMCQ,MODULE,MA19,MA19002,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_003_003.png,3,3,B,SMCQ,MODULE,MA19,MA19003,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_006_000.png,0,4,D,SMCQ,MODULE,MA19,MA19004,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_007_005.png,5,5,C,SMCQ,MODULE,MA19,MA19005,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_008_006.png,6,6,B,SMCQ,MODULE,MA19,MA19006,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_009_007.png,7,7,C,SMCQ,MODULE,MA19,MA19007,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_010_008.png,8,8,C,SMCQ,MODULE,MA19,MA19008,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_011_009.png,9,9,C,SMCQ,MODULE,MA19,MA19009,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_012_010.png,10,10,B,SMCQ,MODULE,MA19,MA19010,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_013_011.png,11,11,C,SMCQ,MODULE,MA19,MA19011,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_014_012.png,12,12,C,SMCQ,MODULE,MA19,MA19012,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_015_013.png,13,13,C,SMCQ,MODULE,MA19,MA19013,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_016_014.png,14,14,B,SMCQ,MODULE,MA19,MA19014,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_017_015.png,15,15,A,SMCQ,MODULE,MA19,MA19015,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_018_016.png,16,16,C,SMCQ,MODULE,MA19,MA19016,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_019_017.png,17,17,A,SMCQ,MODULE,MA19,MA19017,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_020_018.png,18,18,A,SMCQ,MODULE,MA19,MA19018,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_021_019.png,19,19,D,SMCQ,MODULE,MA19,MA19019,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_022_020.png,20,20,C,SMCQ,MODULE,MA19,MA19020,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_023_021.png,21,21,B,SMCQ,MODULE,MA19,MA19021,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_024_022.png,22,22,B,SMCQ,MODULE,MA19,MA19022,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_025_023.png,23,23,D,SMCQ,MODULE,MA19,MA19023,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_026_024.png,24,24,A,SMCQ,MODULE,MA19,MA19024,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_027_025.png,25,25,B,SMCQ,MODULE,MA19,MA19025,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_028_026.png,26,26,A,SMCQ,MODULE,MA19,MA19026,utsah
Application of Derivative (AOD),questions/MA/Application of Derivative (AOD)\question_029_001.png,1,1,"(a) Max at (x=2\pi.) Max value = 2?, Min. at (x=0.) Min value = 0  (b) Max at (x=\pi/6&amp;) also at (x=5~\pi/6) and Max value (=3/2) , Min at (x=\pi/2) , Min value = -3",SUBJ,MODULE,MA19,MA19027,utsah
