Question Number,Subject,Chapter,Image Path
5,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_1.png
6,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_2.png
7,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_3.png
13,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_8.png
14,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_9.png
15,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_10.png
16,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_11.png
22,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_17.png
23,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_18.png
24,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_19.png
25,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_20.png
31,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_26.png
32,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_27.png
33,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_28.png
34,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_29.png
42,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_35.png
43,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_36.png
44,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_37.png
45,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_38.png
46,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_39.png
47,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_40.png
53,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_48.png
54,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_49.png
55,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_50.png
56,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_51.png
60,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_57.png
61,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_58.png
59,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_59.png
67,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_62.png
68,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_63.png
69,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_64.png
70,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_65.png
76,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_71.png
77,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_72.png
78,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_73.png
79,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_74.png
84,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_80.png
85,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_82.png
92,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_86.png
93,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_89.png
94,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_90.png
100,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_95.png
101,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_96.png
102,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_97.png
103,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_98.png
110,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_104.png
111,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_105.png
112,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_106.png
113,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_107.png
114,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_108.png
119,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_115.png
120,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_116.png
121,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_117.png
128,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_122.png
129,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_123.png
130,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_124.png
131,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_125.png
132,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_126.png
135,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_133.png
146,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_136.png
147,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_137.png
148,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_138.png
149,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_139.png
150,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_140.png
151,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_141.png
152,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_142.png
153,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_143.png
154,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_144.png
162,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_155.png
163,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_156.png
164,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_157.png
165,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_158.png
166,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_159.png
167,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_160.png
172,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_168.png
173,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_169.png
174,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_170.png
178,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_175.png
179,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_176.png
184,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_180.png
185,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_181.png
186,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_182.png
190,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_187.png
191,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_188.png
195,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_192.png
196,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_193.png
201,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_197.png
202,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_198.png
203,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_199.png
208,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_204.png
209,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_205.png
210,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_206.png
219,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_211.png
220,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_212.png
221,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_213.png
222,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_214.png
223,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_215.png
224,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_216.png
225,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_217.png
232,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_226.png
233,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_227.png
234,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_228.png
235,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_229.png
236,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_230.png
242,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_237.png
243,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_238.png
244,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_239.png
245,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_240.png
258,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_246.png
259,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_247.png
260,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_248.png
261,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_249.png
262,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_250.png
263,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_251.png
264,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_252.png
265,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_253.png
266,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_254.png
267,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_255.png
268,Chemistry,Alcohol Ether,../Screenshots/Chemistry/Alcohol Ether\question_256.png
11,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_1.png
12,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_2.png
13,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_3.png
14,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_4.png
15,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_5.png
16,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_6.png
17,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_7.png
18,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_8.png
19,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_9.png
30,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_22.png
31,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_23.png
32,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_24.png
33,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_25.png
34,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_26.png
35,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_27.png
36,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_28.png
44,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_37.png
45,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_38.png
46,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_39.png
47,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_40.png
48,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_41.png
49,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_42.png
59,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_50.png
60,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_51.png
61,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_52.png
62,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_53.png
63,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_54.png
64,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_55.png
65,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_56.png
66,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_57.png
73,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_67.png
74,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_68.png
75,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_69.png
76,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_70.png
77,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_71.png
86,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_78.png
87,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_79.png
88,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_80.png
89,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_81.png
90,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_82.png
91,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_83.png
92,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_84.png
98,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_93.png
99,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_94.png
100,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_95.png
101,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_96.png
108,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_102.png
109,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_103.png
110,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_104.png
111,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_105.png
112,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_106.png
118,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_113.png
119,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_114.png
120,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_115.png
121,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_116.png
126,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_122.png
127,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_123.png
128,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_124.png
134,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_129.png
135,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_130.png
136,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_131.png
137,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_132.png
142,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_138.png
143,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_139.png
144,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_140.png
148,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_145.png
149,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_146.png
153,Chemistry,Atomic Structure,../Screenshots/Chemistry/Atomic Structure\question_150.png
