Question Number,question_id,subject_id,chapter_id,Chapter,type,source,creator,Image Path
5,CH25001,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_1.png
6,CH25002,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_2.png
7,CH25003,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_3.png
13,CH25004,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_8.png
14,CH25005,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_9.png
15,CH25006,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_10.png
16,CH25007,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_11.png
22,CH25008,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_17.png
23,CH25009,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_18.png
24,CH25010,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_19.png
25,CH25011,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_20.png
31,CH25012,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_26.png
32,CH25013,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_27.png
33,CH25014,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_28.png
34,CH25015,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_29.png
42,CH25016,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_35.png
43,CH25017,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_36.png
44,CH25018,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_37.png
45,CH25019,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_38.png
46,CH25020,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_39.png
47,CH25021,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_40.png
53,CH25022,CH,CH25,Alcohol Ether,SMCQ,MODULE,admin,../Screenshots/Chemistry/Alcohol Ether\question_48.png
